level_0,index,GDP in  US$
0,2008Q1 [2008Q1],3662800.0
1,2008Q2 [2008Q2],3701400.0
2,2008Q3 [2008Q3],3708800.0
3,2008Q4 [2008Q4],3639900.0
4,2009Q1 [2009Q1],3598600.0
5,2009Q2 [2009Q2],3588200.0
6,2009Q3 [2009Q3],3605100.0
7,2009Q4 [2009Q4],3657000.0
8,2010Q1 [2010Q1],3680400.0
9,2010Q2 [2010Q2],3731500.0
10,2010Q3 [2010Q3],3770000.0
11,2010Q4 [2010Q4],3810200.0
12,2011Q1 [2011Q1],3821500.0
13,2011Q2 [2011Q2],3874100.0
14,2011Q3 [2011Q3],3898000.0
15,2011Q4 [2011Q4],3949100.0
16,2012Q1 [2012Q1],4005000.0
17,2012Q2 [2012Q2],4038100.0
18,2012Q3 [2012Q3],4064300.0
19,2012Q4 [2012Q4],4089700.0
20,2013Q1 [2013Q1],4142400.0
21,2013Q2 [2013Q2],4159500.0
22,2013Q3 [2013Q3],4212200.0
23,2013Q4 [2013Q4],4270800.0
24,2014Q1 [2014Q1],4276200.0
25,2014Q2 [2014Q2],4358200.0
26,2014Q3 [2014Q3],4430400.0
27,2014Q4 [2014Q4],4462500.0
28,2015Q1 [2015Q1],4496100.0
29,2015Q2 [2015Q2],4554900.0
30,2015Q3 [2015Q3],4586200.0
31,2015Q4 [2015Q4],4587700.0
32,2016Q1 [2016Q1],4606100.0
33,2016Q2 [2016Q2],4659300.0
34,2016Q3 [2016Q3],4701700.0
35,2016Q4 [2016Q4],4748000.0
36,2017Q1 [2017Q1],4797600.0
37,2017Q2 [2017Q2],4839200.0
38,2017Q3 [2017Q3],4902900.0
39,2017Q4 [2017Q4],4979700.0
40,2018Q1 [2018Q1],5040800.0
41,2018Q2 [2018Q2],5127600.0
42,2018Q3 [2018Q3],5187500.0
43,2018Q4 [2018Q4],5224500.0
44,2019Q1 [2019Q1],5274700.0
45,2019Q2 [2019Q2],5335100.0
46,2019Q3 [2019Q3],5385600.0
47,2019Q4 [2019Q4],5432300.0
48,2020Q1 [2020Q1],5384900.0
